Task Name,Description,Priority,Status,Tags
"[S0] Uncomment production GitHub Actions workflow","`.github/workflows/production.yml` is commented out. Uncomment, pin `actions/checkout@v4`, validate Vercel secrets, add PR preview + main deploy jobs.",1,to do,"stage-0,devops"
"[S0] Replace static sitemap.xml with dynamic app/sitemap.ts","`public/sitemap.xml` lists non-existent routes that will 404 and hurt SEO. Delete the static file, generate via `app/sitemap.ts` from real routes + Sanity slugs, submit to Google Search Console.",1,to do,"stage-0,seo"
"[S0] Run Lighthouse on key pages — hit 90/95/95/95","Mobile targets for /, /services, /contact: Perf ≥ 90, A11y ≥ 95, Best Practices ≥ 95, SEO ≥ 95. Likely fixes: LCP hero image priority, gradient-text contrast, drop unused aos/parallax-js/tsparticles.",1,to do,"stage-0,performance"
"[S1] Add trust strip above the fold — logos / metrics / testimonial","Zero social proof today. Render under hero one or all of: 4–6 greyscale client logos (anonymized if NDA), metrics strip (e.g. 1.2M docs processed · 80% manual work removed), or named testimonial with face + title.",2,to do,"stage-1,design,conversion"
"[S1] Build flagship case study at /case-studies/[slug]","Structure: Client → Problem (1 para) → Architecture (SVG, not stock) → 3 outcome metrics → Timeline in days → Tech stack → CTO quote. The single highest-trust asset a studio can own.",2,to do,"stage-1,content,design"
"[S1] Add real team section on /about","Real faces, real titles, real LinkedIn links. 'Led by Masud Alam — X years shipping AI systems at Y.' One real face beats ten stock icons.",2,to do,"stage-1,content"
"[S1] Publish honest pricing range on site","One line: 'Engagements start at $15K. Typical AI product builds: $25K–$60K.' Filters tire-kickers, signals confidence, improves demo-call quality.",2,to do,"stage-1,conversion"
"[S1] Replace Unsplash images on money pages","Every Unsplash image on home, services, and case studies → commissioned product screenshots or custom SVG architecture diagrams. Unsplash on a $50K studio site screams 'template'.",2,to do,"stage-1,design"
"[S2] Rewrite hero as outcome + qualifier sub","Current: 'Build your AI product in 2–4 weeks' — generic. Better: 'Ship the AI product your roadmap has been stuck on — in 2–4 weeks.' Sub: 'Production-grade AI document automation, SaaS MVPs, and internal tools for fintech, legal, and ops teams. No prototypes. No tech debt.'",2,to do,"stage-2,copy,conversion"
"[S2] Rename primary CTA to Book a 20-min Product Audit","'Free Strategy Call' is overused. 'Book a 20-min Product Audit' sounds senior, outcome-specific, and converts better with CTOs.",2,to do,"stage-2,copy,conversion"
"[S2] Add secondary CTA: AI Product Readiness Checklist lead magnet","Gated PDF: 'Get the SofGent AI Product Readiness Checklist'. Captures emails from not-ready-today visitors and feeds the list.",2,to do,"stage-2,conversion,content"
"[S2] Rewrite 3 service cards as outcomes","Each card: outcome headline + timeline + deliverables + proof chip. Examples: 'Turn 1,000 PDFs into structured data in one sprint.' (Doc Intel) / 'Ship a revenue-ready SaaS MVP in 30 days.' (MVP) / 'Make legacy data AI-ready without a 6-month project.' (Data Eng).",2,to do,"stage-2,copy"
"[S2] Add FAQ section with 6–8 questions on homepage","Cover: What is production-ready? / Pricing / Team size / IP ownership / Handling unclean data / Post-launch support / NDAs / Industries shipped.",2,to do,"stage-2,content,conversion"
"[S2] Build embedded Calendly /book page","Embed the Calendly widget directly rather than linking out. Cuts clicks from homepage → meeting from 3 to 2.",2,to do,"stage-2,conversion"
"[S2] Implement branded auto-reply email on form submit","Within 60 seconds of contact form submit, send branded confirmation with: receipt, SLA expectation (1 business day), lead-magnet PDF, Calendly backup link.",2,to do,"stage-2,conversion,api"
"[S3] Enable Vercel Analytics + Speed Insights","Install `@vercel/analytics` and `@vercel/speed-insights` and wire to `app/layout.tsx`.",3,to do,"stage-3,monitoring"
"[S3] Wire Sentry error tracking","Install `@sentry/nextjs`, set up DSN, test with a fake error. Essential before onboarding production clients.",3,to do,"stage-3,monitoring"
"[S3] Add GTM conversion events for key CTAs","Events: `book_call_click`, `contact_form_submit`, `lead_magnet_download`. Wire Google Ads + LinkedIn conversion triggers if running paid.",3,to do,"stage-3,analytics"
"[S3] Add JSON-LD Organization + Service + WebSite schema","Ship structured data in `app/layout.tsx` + service pages. Boosts SERP rich results.",3,to do,"stage-3,seo"
"[S3] Ship branded app/not-found.tsx 404 page","Custom 404 with header/footer, 'Looking for…' nav, and a CTA back to `/services`.",3,to do,"stage-3,design"
"[S3] Add cookie consent banner for GDPR","If any EU traffic, a cookie banner is legally required because GTM + analytics fire non-essential cookies. Use Cookiebot or a simple in-house banner.",3,to do,"stage-3,legal"
"[S3] Pick Sanity OR Keystatic — remove the other","Repo has both `sanity/` and `keystatic.config.ts`. Two CMSes is a trust smell to technical buyers reading the repo. Pick one, migrate content, delete the other.",3,to do,"stage-3,tech-debt"
"[S3] Cross-device smoke test (mobile + tablet + desktop)","Manually verify rendering on iOS Safari, Android Chrome, iPad Safari, macOS Chrome + Safari, Windows Chrome. Fix any layout regressions.",3,to do,"stage-3,qa"
"[S3] Run 3 think-aloud tests with ICP prospects","5-minute user tests with 3 target-customer-profile people (fintech CTO / ops lead / founder). Fix top 3 friction points they surface.",3,to do,"stage-3,research"
"[S4] Write pillar article: Document intelligence pipeline","Target keyword: 'document intelligence pipeline architecture'. 1,500–2,500 words, real diagram, real code snippet, CTA to book.",3,to do,"stage-4,content,seo"
